protocol,experiment,slice_type,slice_value,n_queries,n_true_classes,macro_f1,macro_precision,macro_recall,weighted_f1,accuracy
row_stratified,T1-E4,signal_agreement,two_signal_including_rule,127,7,0.842447020496988,0.8445652173913043,0.8450554134697357,0.9803357348309751,0.9763779527559056
row_stratified,T1-E4,signal_agreement,unanimous,151,6,1.0,1.0,1.0,1.0,1.0
row_stratified,T1-E4,query_length,4-7 tokens,218,11,0.9666581726249277,0.9688311688311689,0.9688644688644689,0.9684454367888696,0.9678899082568807
row_stratified,T1-E4,query_length,8+ tokens,144,9,0.9746122970260901,0.9762222690748941,0.9752791068580543,0.9580676427659185,0.9583333333333334
template_grouped,T1-E4,language,EN,154,10,0.9264225970108324,0.9639787664307381,0.9132323232323232,0.9376354483306355,0.9415584415584416
template_grouped,T1-E4,language,ID,88,7,0.6933333333333334,0.7049242424242423,0.6842261904761905,0.8186363636363637,0.7954545454545454
template_grouped,T1-E4,language,MIXED,112,9,0.636036208325365,0.6598063973063972,0.661319073083779,0.7201868699286944,0.7410714285714286
template_grouped,T1-E4,signal_agreement,prototype_cluster_against_rule,84,5,0.39999999999999997,0.4523809523809524,0.39285714285714285,0.6722222222222223,0.6904761904761905
template_grouped,T1-E4,signal_agreement,two_signal_including_rule,127,7,0.7041811384824089,0.7537097162097162,0.6887008543482844,0.7700728996326122,0.7637795275590551
template_grouped,T1-E4,signal_agreement,unanimous,143,5,1.0,1.0,1.0,1.0,1.0
template_grouped,T1-E4,query_length,4-7 tokens,210,10,0.8510393715134696,0.9031263858093126,0.8443736263736265,0.8662061865739017,0.8714285714285714
template_grouped,T1-E4,query_length,8+ tokens,144,9,0.7843481382704057,0.8081364732374234,0.8012202222728538,0.7918330949304493,0.7986111111111112
