protocol,split,scheme,threshold,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20
temporal,test,event_hierarchy_relevance_grade,2,139,69,70,0.02158273381294964,0.007246376811594203,0.014492753623188406,0.014492753623188406,0.006211180124223602,0.03597122302158273,0.021739130434782608,0.028985507246376812,0.01932367149758454,0.010616105388464912,0.031654676258992806,0.028985507246376812,0.043478260869565216,0.02222222222222222,0.013329929575348676,0.02877697841726619,0.036231884057971016,0.057971014492753624,0.024292615596963423,0.017181179399357267,0.02841726618705036,0.07004830917874395,0.10144927536231885,0.026969749252357948,0.025974571365622593
query,train,relevance_grade,1,300,212,88,0.06333333333333334,0.009222446840371368,0.04716981132075472,0.04716981132075472,0.02964959568733154,0.05444444444444443,0.020097708894878708,0.08490566037735849,0.06132075471698113,0.027314373878504744,0.04933333333333333,0.029438080263551963,0.1179245283018868,0.06886792452830187,0.028758910230110787,0.042,0.04703878406708595,0.17452830188679244,0.07691674153938305,0.03486359169609374,0.03933333333333334,0.06289308176100629,0.22169811320754718,0.07998363616007025,0.04046870285634117
query,train,relevance_grade,2,300,190,110,0.06333333333333334,0.010664160401002506,0.04736842105263158,0.04736842105263158,0.0330827067669173,0.05444444444444443,0.026687552213868003,0.08421052631578947,0.06140350877192983,0.03047709085391056,0.04933333333333333,0.036512113617376774,0.10526315789473684,0.06587719298245613,0.032088889309386776,0.042,0.054456975772765245,0.15263157894736842,0.07273809523809524,0.03731606023109417,0.03933333333333334,0.06820593149540517,0.18947368421052632,0.07512573145537135,0.04222303676352911
query,train,conservative_relevance_grade,1,300,212,88,0.06333333333333334,0.009222446840371368,0.04716981132075472,0.04716981132075472,0.02650494159928122,0.05444444444444443,0.020097708894878708,0.08490566037735849,0.06132075471698113,0.026518663515060287,0.04933333333333333,0.029438080263551963,0.1179245283018868,0.06886792452830187,0.028203901867619053,0.042,0.04703878406708595,0.17452830188679244,0.07691674153938305,0.03268689180968322,0.03933333333333334,0.06289308176100629,0.22169811320754718,0.07998363616007025,0.038650759426794405
query,train,conservative_relevance_grade,2,300,153,147,0.06333333333333334,0.0112822906940554,0.0392156862745098,0.0392156862745098,0.02365390600684718,0.05444444444444443,0.028384687208216616,0.0718954248366013,0.05228758169934641,0.02640216174120632,0.04933333333333333,0.03219732337379396,0.08496732026143791,0.054901960784313725,0.02705926137687336,0.042,0.04603174603174603,0.11764705882352941,0.05949268596327419,0.03130346969094931,0.03933333333333334,0.06585745409274821,0.16339869281045752,0.06245772440302883,0.03789420112897386
query,train,event_hierarchy_relevance_grade,1,300,212,88,0.06333333333333334,0.009222446840371368,0.04716981132075472,0.04716981132075472,0.030098831985624432,0.05444444444444443,0.020097708894878708,0.08490566037735849,0.06132075471698113,0.026477348311124322,0.04933333333333333,0.029438080263551963,0.1179245283018868,0.06886792452830187,0.0285587910316512,0.042,0.04703878406708595,0.17452830188679244,0.07691674153938305,0.033580859910043434,0.03933333333333334,0.06289308176100629,0.22169811320754718,0.07998363616007025,0.03941820450255463
query,train,event_hierarchy_relevance_grade,2,300,139,161,0.06333333333333334,0.009592326139088728,0.02877697841726619,0.02877697841726619,0.0315176430284344,0.05444444444444443,0.028657074340527576,0.06474820143884892,0.04316546762589928,0.028998359159497417,0.04933333333333333,0.03405275779376498,0.07913669064748201,0.04604316546762589,0.030325924413211792,0.042,0.048441247002398075,0.1079136690647482,0.049897225077081185,0.034819395111372914,0.03933333333333334,0.07086330935251799,0.15827338129496402,0.05311094045001655,0.04188097085815389
query,validation,relevance_grade,1,100,70,30,0.03,0.0023809523809523807,0.014285714285714285,0.014285714285714285,0.006122448979591836,0.03333333333333333,0.0023809523809523807,0.014285714285714285,0.014285714285714285,0.004123738274877419,0.03,0.005238095238095239,0.02857142857142857,0.017857142857142856,0.0038460525753703473,0.041999999999999996,0.027619047619047616,0.11428571428571428,0.028424036281179135,0.011160675235756165,0.044,0.054200680272108843,0.18571428571428572,0.03357905982905983,0.020071009686267603
query,validation,relevance_grade,2,100,56,44,0.03,0.002976190476190476,0.017857142857142856,0.017857142857142856,0.007653061224489796,0.03333333333333333,0.002976190476190476,0.017857142857142856,0.017857142857142856,0.005154672843596774,0.03,0.002976190476190476,0.017857142857142856,0.017857142857142856,0.004807565719212934,0.041999999999999996,0.019940476190476192,0.07142857142857142,0.024744897959183672,0.013950844044695206,0.044,0.03005952380952381,0.10714285714285714,0.027051445578231293,0.01868713418947669
query,validation,conservative_relevance_grade,1,100,70,30,0.03,0.0023809523809523807,0.014285714285714285,0.014285714285714285,0.006122448979591836,0.03333333333333333,0.0023809523809523807,0.014285714285714285,0.014285714285714285,0.004123738274877419,0.03,0.005238095238095239,0.02857142857142857,0.017857142857142856,0.0038852131493628127,0.041999999999999996,0.027619047619047616,0.11428571428571428,0.028424036281179135,0.013024977426551057,0.044,0.054200680272108843,0.18571428571428572,0.03357905982905983,0.022415759770346128
