protocol,split,experiment,scheme,threshold,dimension,value,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20
query,test,selected:complete,relevance_grade,1,query_intent,Dosing / Administration,19,14,5,0.05263157894736842,0.014285714285714287,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.03508771929824561,0.014285714285714287,0.07142857142857142,0.07142857142857142,0.048110279873569896,0.05263157894736842,0.014285714285714287,0.07142857142857142,0.07142857142857142,0.03892450849189045,0.042105263157894736,0.014285714285714287,0.07142857142857142,0.07142857142857142,0.03892450849189045,0.034210526315789476,0.014285714285714287,0.07142857142857142,0.07142857142857142,0.03892450849189045
query,test,selected:complete,relevance_grade,1,query_intent,Efficacy / Outcomes,3,1,2,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.05000000000000001,0.0,0.0,0.0,0.0
query,test,selected:complete,relevance_grade,1,query_intent,Guideline / Evidence Lookup,10,8,2,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.030000000000000006,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
query,test,selected:complete,relevance_grade,1,query_intent,Interaction / Combination,7,7,0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.028571428571428574,0.14285714285714285,0.047619047619047616,0.011173303000541823,0.028571428571428574,0.028571428571428574,0.14285714285714285,0.047619047619047616,0.009906437583879173,0.028571428571428574,0.028571428571428574,0.14285714285714285,0.047619047619047616,0.009906437583879173,0.021428571428571432,0.028571428571428574,0.14285714285714285,0.047619047619047616,0.009906437583879173
query,test,selected:complete,relevance_grade,1,query_intent,Management / Treatment Selection,11,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009090909090909092,0.017857142857142856,0.14285714285714285,0.02040816326530612,0.0174643361233127,0.02727272727272727,0.017857142857142856,0.14285714285714285,0.02040816326530612,0.0174643361233127
query,test,selected:complete,relevance_grade,1,query_intent,Mechanism / Background Knowledge,6,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.025000000000000005,0.037037037037037035,0.3333333333333333,0.018518518518518517,0.010810019221119432
query,test,selected:complete,relevance_grade,1,query_intent,Monitoring / Response / Risk Assessment,9,7,2,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.08888888888888889,0.015873015873015872,0.14285714285714285,0.028571428571428574,0.020262770115240167,0.07777777777777778,0.03373015873015873,0.2857142857142857,0.05238095238095238,0.020770745768875214,0.05555555555555555,0.03373015873015873,0.2857142857142857,0.05238095238095238,0.020770745768875214
query,test,selected:complete,relevance_grade,1,query_intent,Prophylaxis / Maintenance,8,6,2,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.03333333333333333,0.16666666666666666,0.08333333333333333,0.02442338672877317,0.05,0.03333333333333333,0.16666666666666666,0.08333333333333333,0.022969565472856165,0.05,0.06666666666666667,0.3333333333333333,0.10185185185185186,0.036396034679770844,0.0625,0.11130952380952382,0.6666666666666666,0.12417328042328042,0.043670030763330946
query,test,selected:complete,relevance_grade,1,query_intent,Safety / Contraindication,14,6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021428571428571432,0.020833333333333332,0.16666666666666666,0.020833333333333332,0.0026617219094556576,0.03928571428571429,0.041666666666666664,0.16666666666666666,0.020833333333333332,0.017111324043483842
query,test,selected:complete,relevance_grade,1,query_intent,Treatment Change / Escalation,11,7,4,0.0,0.0,0.0,0.0,0.0,0.0303030303030303,0.0,0.0,0.0,0.0,0.018181818181818184,0.0,0.0,0.0,0.0,0.03636363636363637,0.0,0.0,0.0,0.0,0.045454545454545456,0.023809523809523808,0.14285714285714285,0.0071428571428571435,0.002175307372843344
query,test,selected:complete,relevance_grade,1,has_context,False,56,39,17,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.010256410256410256,0.05128205128205128,0.021367521367521364,0.00576290875324184,0.03571428571428571,0.013105413105413105,0.07692307692307693,0.026495726495726492,0.008948765300794165,0.03214285714285715,0.024643874643874644,0.15384615384615385,0.03728123728123728,0.014240175497720374,0.04107142857142857,0.03863451363451363,0.2564102564102564,0.04342185592185592,0.016581231543223513
query,test,selected:complete,relevance_grade,1,has_context,True,44,29,15,0.022727272727272728,0.006896551724137932,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.022727272727272728,0.006896551724137932,0.034482758620689655,0.034482758620689655,0.023225652352757878,0.031818181818181815,0.006896551724137932,0.034482758620689655,0.034482758620689655,0.018791142030567802,0.03863636363636364,0.011206896551724138,0.06896551724137931,0.03879310344827586,0.019341843115282767,0.03295454545454546,0.015517241379310345,0.06896551724137931,0.03879310344827586,0.022331415970598945
query,test,selected:complete,relevance_grade,1,multiple_entity_dimensions,True,100,68,32,0.01,0.0029411764705882353,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.03333333333333333,0.008823529411764707,0.04411764705882353,0.026960784313725488,0.013210255288329562,0.034,0.01045751633986928,0.058823529411764705,0.029901960784313723,0.0131462494943741,0.035,0.018913398692810456,0.11764705882352941,0.03792600373482727,0.01641588668756316,0.0375,0.02877567693744164,0.17647058823529413,0.04144782913165265,0.01903351607842774
query,test,selected:minus_bm25,relevance_grade,1,query_language,EN,50,34,16,0.02,0.0,0.0,0.0,0.0,0.03333333333333333,0.0058823529411764705,0.029411764705882353,0.014705882352941176,0.0043100094227246765,0.032,0.009150326797385621,0.058823529411764705,0.022058823529411766,0.008697786478110129,0.030000000000000006,0.009150326797385621,0.058823529411764705,0.022058823529411766,0.008253720049780686,0.038000000000000006,0.023564425770308123,0.17647058823529413,0.030238875736052936,0.016075603981431544
