experiment,protocol,split,scheme,threshold,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20,experiment_family,source_file
R-B0,query_dedup,train,relevance_grade,1,300,213,87,0.0533333333333333,0.0049537968552053,0.0328638497652582,0.0328638497652582,0.0194500335345405,0.05,0.0163648558014755,0.0751173708920187,0.0492957746478873,0.0219089275117203,0.044,0.0248789030479171,0.1032863849765258,0.0556338028169014,0.0236703918282741,0.0413333333333333,0.0411841418883672,0.1596244131455399,0.063812504657575,0.0288024464044995,0.0401666666666666,0.05785639764513,0.2018779342723004,0.0665254732597644,0.034773045048146,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query_dedup,train,relevance_grade,2,300,191,109,0.0533333333333333,0.006681625529793,0.0366492146596858,0.0366492146596858,0.0216903515332834,0.05,0.0226211252389262,0.0732984293193717,0.050610820244328,0.0244324689005048,0.044,0.0323942491481758,0.094240837696335,0.0550610820244328,0.0263968243948816,0.0413333333333333,0.0474902351865702,0.1361256544502617,0.0613251059586138,0.0305439324004943,0.0401666666666666,0.0618590542674312,0.1675392670157068,0.0632460926446873,0.0353253268909062,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query_dedup,train,conservative_relevance_grade,1,300,213,87,0.0533333333333333,0.0049537968552053,0.0328638497652582,0.0328638497652582,0.0163201430807064,0.05,0.0163648558014755,0.0751173708920187,0.0492957746478873,0.0211169528776816,0.044,0.0248789030479171,0.1032863849765258,0.0556338028169014,0.0231052682971004,0.0413333333333333,0.0411841418883672,0.1596244131455399,0.063812504657575,0.0277049769229796,0.0401666666666666,0.05785639764513,0.2018779342723004,0.0665254732597644,0.033743730639444,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query_dedup,train,conservative_relevance_grade,2,300,156,144,0.0533333333333333,0.0099969474969474,0.0384615384615384,0.0384615384615384,0.0222832722832722,0.05,0.0267704517704517,0.0705128205128205,0.0512820512820512,0.0256276343778602,0.044,0.030509768009768,0.0833333333333333,0.0538461538461538,0.0258626239746657,0.0413333333333333,0.043543956043956,0.1153846153846153,0.0584630647130647,0.0294886146149889,0.0401666666666666,0.0635225885225885,0.1538461538461538,0.0608150420017828,0.0354358157571612,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query_dedup,train,event_hierarchy_relevance_grade,1,300,213,87,0.0533333333333333,0.0049537968552053,0.0328638497652582,0.0328638497652582,0.0172143974960876,0.05,0.0163648558014755,0.0751173708920187,0.0492957746478873,0.0201220077206313,0.044,0.0248789030479171,0.1032863849765258,0.0556338028169014,0.0226857563658748,0.0413333333333333,0.0411841418883672,0.1596244131455399,0.063812504657575,0.0278886536020211,0.0401666666666666,0.05785639764513,0.2018779342723004,0.0665254732597644,0.0337489821889534,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query_dedup,train,event_hierarchy_relevance_grade,2,300,138,162,0.0533333333333333,0.008695652173913,0.0289855072463768,0.0289855072463768,0.0265700483091787,0.05,0.0278985507246376,0.0652173913043478,0.0434782608695652,0.0274346930760468,0.044,0.0333333333333333,0.0797101449275362,0.0463768115942028,0.0285885021644695,0.0413333333333333,0.0472222222222222,0.108695652173913,0.0503881987577639,0.03261080313814,0.0401666666666666,0.0704106280193236,0.1521739130434782,0.052996633631645,0.0390583308597962,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query_dedup,validation,relevance_grade,1,99,69,30,0.0707070707070707,0.0154589371980676,0.0579710144927536,0.0579710144927536,0.0372670807453416,0.0606060606060605,0.0183574879227053,0.072463768115942,0.0652173913043478,0.0272458506621545,0.0525252525252525,0.0212560386473429,0.0869565217391304,0.0688405797101449,0.0242955305364675,0.0444444444444444,0.0357487922705314,0.1159420289855072,0.0723602484472049,0.028151433909775,0.0429292929292929,0.0581492983666896,0.1884057971014492,0.0777322918627266,0.0352829787305626,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query_dedup,validation,relevance_grade,2,99,58,41,0.0707070707070707,0.0158045977011494,0.0517241379310344,0.0517241379310344,0.0443349753694581,0.0606060606060605,0.0192528735632183,0.0689655172413793,0.0603448275862069,0.0324131671670458,0.0525252525252525,0.0192528735632183,0.0689655172413793,0.0603448275862069,0.0289033035692459,0.0444444444444444,0.0278735632183908,0.0862068965517241,0.062807881773399,0.0334904989616289,0.0429292929292929,0.0329022988505747,0.1206896551724138,0.0654528660994178,0.037561508751707,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query_dedup,validation,conservative_relevance_grade,1,99,69,30,0.0707070707070707,0.0154589371980676,0.0579710144927536,0.0579710144927536,0.0372670807453416,0.0606060606060605,0.0183574879227053,0.072463768115942,0.0652173913043478,0.0272458506621545,0.0525252525252525,0.0212560386473429,0.0869565217391304,0.0688405797101449,0.0243577735459203,0.0444444444444444,0.0357487922705314,0.1159420289855072,0.0723602484472049,0.0281375083089477,0.0429292929292929,0.0581492983666896,0.1884057971014492,0.0777322918627266,0.0361748835101895,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,query_dedup,validation,conservative_relevance_grade,2,99,48,51,0.0707070707070707,0.0069444444444444,0.0208333333333333,0.0208333333333333,0.0119047619047619,0.0606060606060605,0.0111111111111111,0.0416666666666666,0.03125,0.0166153703520926,0.0525252525252525,0.0111111111111111,0.0416666666666666,0.03125,0.015174562013113,0.0444444444444444,0.0111111111111111,0.0416666666666666,0.03125,0.0169154455936307,0.0429292929292929,0.0215277777777777,0.0833333333333333,0.0344460227272727,0.0231367135952112,phase9_bm25,outputs/retrieval/bm25_metrics.csv
