protocol,split,experiment,scheme,threshold,dimension,value,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20
query_dedup,test,legacy:all_terms_minus_entity_penalty,relevance_grade,1,query_intent,Monitoring / Response / Risk Assessment,6,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0
query_dedup,test,legacy:all_terms_minus_entity_penalty,relevance_grade,1,query_intent,Prophylaxis / Maintenance,9,6,3,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.03333333333333333,0.16666666666666666,0.05555555555555555,0.01935507605285811,0.06666666666666668,0.03333333333333333,0.16666666666666666,0.05555555555555555,0.018202949966168214,0.03333333333333334,0.03333333333333333,0.16666666666666666,0.05555555555555555,0.018202949966168214,0.03888888888888889,0.05416666666666667,0.3333333333333333,0.06597222222222222,0.021002899041501513
query_dedup,test,legacy:all_terms_minus_entity_penalty,relevance_grade,1,query_intent,Safety / Contraindication,12,6,6,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.05000000000000001,0.0,0.0,0.0,0.0,0.06666666666666667,0.041666666666666664,0.3333333333333333,0.037037037037037035,0.01101812612935156,0.05416666666666667,0.08333333333333333,0.3333333333333333,0.037037037037037035,0.03187982493207123
query_dedup,test,legacy:all_terms_minus_entity_penalty,relevance_grade,1,query_intent,Treatment Change / Escalation,7,3,4,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.028571428571428574,0.0,0.0,0.0,0.0,0.028571428571428574,0.05555555555555555,0.3333333333333333,0.041666666666666664,0.037431111603876244,0.042857142857142864,0.1111111111111111,0.3333333333333333,0.041666666666666664,0.047318929645951635
query_dedup,test,legacy:all_terms_minus_entity_penalty,relevance_grade,1,has_context,False,52,34,18,0.038461538461538464,0.0,0.0,0.0,0.0,0.05128205128205128,0.011764705882352941,0.058823529411764705,0.0196078431372549,0.005715987568262982,0.04230769230769231,0.011764705882352941,0.058823529411764705,0.0196078431372549,0.005251845967181279,0.03076923076923077,0.02483660130718954,0.14705882352941177,0.030427170868347335,0.010384832595763192,0.03461538461538462,0.055473856209150324,0.29411764705882354,0.03940208436315702,0.023490799513074798
query_dedup,test,legacy:all_terms_minus_entity_penalty,relevance_grade,1,has_context,True,49,34,15,0.02040816326530612,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.0489795918367347,0.0,0.0,0.0,0.0,0.05102040816326531,0.016911764705882352,0.11764705882352941,0.012745098039215686,0.007558161479929909,0.04285714285714286,0.04684873949579832,0.20588235294117646,0.017906574394463668,0.01569790870373574
query_dedup,test,legacy:all_terms_minus_context_bonus,relevance_grade,1,query_language,EN,47,31,16,0.0,0.0,0.0,0.0,0.0,0.035460992907801414,0.0064516129032258064,0.03225806451612903,0.016129032258064516,0.004727107108794807,0.029787234042553193,0.0064516129032258064,0.03225806451612903,0.016129032258064516,0.004445722349585064,0.02765957446808511,0.01827956989247312,0.0967741935483871,0.024731182795698924,0.009242482503280594,0.024468085106382983,0.02589605734767025,0.16129032258064516,0.029185867895545316,0.012041256998313108
query_dedup,test,legacy:all_terms_minus_context_bonus,relevance_grade,1,query_language,ID,22,17,5,0.045454545454545456,0.0,0.0,0.0,0.0,0.0909090909090909,0.011764705882352941,0.058823529411764705,0.0196078431372549,0.004600771823752515,0.05454545454545454,0.011764705882352941,0.058823529411764705,0.0196078431372549,0.004079121358067895,0.054545454545454564,0.026470588235294117,0.17647058823529413,0.03349673202614379,0.01370921065297189,0.07727272727272728,0.0803921568627451,0.35294117647058826,0.04668746286393345,0.025898125748675057
query_dedup,test,legacy:all_terms_minus_context_bonus,relevance_grade,1,query_language,MIXED,32,20,12,0.0625,0.0,0.0,0.0,0.0,0.05208333333333333,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.037500000000000006,0.016666666666666666,0.05,0.005555555555555555,0.0070726859231951865,0.037500000000000006,0.029166666666666664,0.15,0.012526709401709402,0.010499592338282184
query_dedup,test,legacy:all_terms_minus_context_bonus,relevance_grade,1,query_intent,Comparative Treatment Choice,6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0
